architecture,units,layers,accuracy,lex_capacity,n_parameters,loss
rnn,128,3,84.421014361,68.8420287221,104967,1.60503436327
rnn,64,3,79.6218869296,59.2437738593,34311,1.68733968139
lstm,32,2,72.4413742956,44.8827485912,27751,1.76729568243
rnn,64,2,77.058716597,54.117433194,25927,1.7241897881
lstm,128,3,88.7656789675,77.5313579349,376455,1.5323200047
rnn,32,2,68.2966733321,36.5933466642,12199,1.87355424762
lstm,16,1,63.7338665697,27.4677331394,10967,1.96633557677
rnn,16,2,59.9527358662,19.9054717324,7639,2.02660842538
lstm,64,3,84.493728413,68.987456826,108615,1.57850568891
lstm,16,3,65.3153972005,30.630794401,15255,1.89242532849
rnn,64,3,76.822395928,53.644791856,34311,1.73094482422
lstm,128,2,88.5838938375,77.167787675,244615,1.5257973671
rnn,32,1,65.1154335575,30.2308671151,10055,1.94383407831
lstm,64,1,79.2037811307,58.4075622614,42311,1.71028237939
rnn,16,2,60.5889838211,21.1779676422,7639,2.02884274125
lstm,32,1,69.096527904,38.193055808,19367,1.83456727862
rnn,128,3,86.4206507908,72.8413015815,104967,1.59400927424
rnn,64,1,73.9138338484,47.8276676968,17543,1.79696766734
lstm,32,3,73.9865479004,47.9730958008,36135,1.72172669172
lstm,32,2,76.658789311,53.3175786221,27751,1.75619161129
