architecture,units,layers,accuracy,lex_capacity,n_parameters,loss
bigram,NA,NA,54.0229885057,8.04597701149,18496,3.96242818171
lstm,128,3,78.3294761203,56.6589522407,389772,1.17046948753
lstm,16,2,57.8581948243,15.7163896486,18700,1.6675863996
lstm,64,2,71.3654533979,42.7309067957,84364,1.29453097783
rnn,16,3,55.2493162213,10.4986324427,13788,1.81251985436
lstm,32,1,60.9930570166,21.9861140332,26060,1.60044496914
lstm,32,3,67.0944666526,34.1889333053,42828,1.42851230949
rnn,32,2,58.9732800337,17.9465600673,18892,1.6647814619
lstm,64,1,64.0227224911,28.0454449821,51212,1.43718882922
rnn,128,1,64.0858405218,28.1716810436,51980,1.45935223692
rnn,16,1,54.0921523248,8.18430464969,12668,1.9580843366
rnn,128,3,68.4830633284,36.9661266568,118284,1.35587628276
rnn,64,2,63.3284241532,26.6568483063,34828,1.48522106779
lstm,128,2,75.6154007995,51.230801599,257932,1.1920763019
lstm,16,3,58.1737849779,16.3475699558,20844,1.6119454864
lstm,32,2,64.1279192089,28.2558384178,34444,1.48328248028
rnn,32,1,56.7010309278,13.4020618557,16748,1.78782905168
lstm,16,1,55.7332211235,11.466442247,16556,1.77976372526
lstm,64,3,73.9532926573,47.9065853145,117516,1.25478868882
unigram,NA,NA,43.6781609195,-12.6436781609,136,4.84045391734
rnn,16,2,53.5661687355,7.13233747107,13228,1.86495938004
rnn,32,3,59.7727750894,19.5455501788,21036,1.612474589
rnn,64,1,60.088365243,20.176730486,26444,1.61520974934
rnn,128,2,69.0511256049,38.1022512098,85132,1.35061607546
lstm,128,1,71.3654533979,42.7309067957,126092,1.30037532232
rnn,64,3,66.5895224069,33.1790448138,43212,1.42183020539
